26,1.24E+18,Weather is so gorgeous but we still have Corona out here..😢,Thu Mar 19 20:14:15 +0000 2020,0.7
27,1.24E+18, Day 5 We have rediscovered farming,Thu Mar 19 20:14:24 +0000 2020,0
28,1.24E+18,12 CIVILIZATION .. LISTEN UP. Because I know y’all don’t watch the news... it has been said that they plan on the corona pande…,Thu Mar 19 20:15:04 +0000 2020,0
29,1.24E+18," So that's wizkid, Busiswa ,oskido and moonnchild Sanelly .... you probably collaborating with all",Thu Mar 19 20:15:12 +0000 2020,0
30,1.24E+18, Obviously the wild incompetence and cheesy desperate racial appeal are bad but look at the size of this type! This squint…,Thu Mar 19 20:15:18 +0000 2020,0.5
31,1.24E+18, Bootlicking is also a major cause of spreading Corona. Kindly refrain.,Thu Mar 19 20:16:35 +0000 2020,-0.25
32,1.24E+18, this man’s piss could stop corona,Thu Mar 19 20:16:38 +0000 2020,0
34,1.24E+18, this man’s piss could stop corona,Thu Mar 19 20:17:07 +0000 2020,0
35,1.24E+18," The expectation for the public to voluntarily stay away from pubs while they’re still open, and pubs to voluntarily close wh…",Thu Mar 19 20:18:02 +0000 2020,0
36,1.24E+18,never knew shop rite had chinese food 😂,Thu Mar 19 20:18:32 +0000 2020,0.25
37,1.24E+18,7_ 2 weeks? it’s a fucking global pandemic not a hamstring strain.,Thu Mar 19 20:18:39 +0000 2020,0
38,1.24E+18, Mere liye likhna tha. How dumb anyone can be to understand that?,Thu Mar 19 20:18:42 +0000 2020,-0.15
39,1.24E+18," Fuck corona, I miss my friends ",Thu Mar 19 20:20:32 +0000 2020,-0.4
40,1.24E+18," Saints’ HC Sean Payton tested positive for the coronavirus, he told ESPN on Thursday. Payton is the first person in the N…",Thu Mar 19 20:22:17 +0000 2020,0
41,1.24E+18, SO MANY CHOICES,Thu Mar 19 20:22:33 +0000 2020,0
42,1.24E+18," FUCKING SHARE THIS, SHARE THIS SHARE THIS!!!!!",Thu Mar 19 20:22:48 +0000 2020,0
43,1.24E+18, everyone coming out of corona as barista,Thu Mar 19 20:24:16 +0000 2020,0
44,1.24E+18, Day 5 We have rediscovered farming,Thu Mar 19 20:24:17 +0000 2020,0
45,1.24E+18, Corona day 3 it just feels like Sunday again and...again,Thu Mar 19 20:24:28 +0000 2020,0
46,1.24E+18,one person unfollowed me // automatically checked by ,Thu Mar 19 20:24:49 +0000 2020,0.6
48,1.24E+18, the children are our future? well... fuck🤦🏻‍♂️,Thu Mar 19 20:28:58 +0000 2020,-0.2
49,1.24E+18," Trump is trying to distract you from his incompetence with his racism, don’t let him. ",Thu Mar 19 20:28:56 +0000 2020,0
50,1.24E+18, Day 5 We have rediscovered farming,Thu Mar 19 20:29:02 +0000 2020,0.1
51,1.24E+18, so you’re tellin me rapunzel was in quarantine all her life cause her mom was hiding her from CORONA ,Thu Mar 19 20:29:27 +0000 2020,0
52,1.24E+18,if corona gets sean payton ima k*** myself,Thu Mar 19 20:29:53 +0000 2020,0
53,1.24E+18,Kill it with fire ,Thu Mar 19 20:30:04 +0000 2020,0
54,1.24E+18, everyone coming out of corona as barista,Thu Mar 19 20:30:11 +0000 2020,0
55,1.24E+18, this man’s piss could stop corona,Thu Mar 19 20:31:32 +0000 2020,1
56,1.24E+18, this man’s piss could stop corona,Thu Mar 19 20:31:37 +0000 2020,0
57,1.24E+18, I’m setting JoJo’s Corona PSA song as my new ringtone ,Thu Mar 19 20:32:44 +0000 2020,0.136363636
58,1.24E+18,3 Corona all over these screens,Thu Mar 19 20:34:20 +0000 2020,0
59,1.24E+18,Corona virus has us all down...zombies are coming and the acid rain is melting off our faces. Check out how Luna and I still go for our daily walks YouTube LunaandLina dailywalks classicalmusic Apocalyptic apocolypse bored ,Thu Mar 19 20:35:08 +0000 2020,-0.25
60,1.24E+18," This corona virus reminds me of my ex, tryna fuck with everyone",Thu Mar 19 20:35:13 +0000 2020,-0.4
